WindowID,WindowType,EntryType,Type,EntryTime,ExitTime,EntryPrice,ExitPrice,SL,TP,Risk,P&L,R_Multiple,Status,BreakoutDistance,BreakoutBodyPct,BreakoutAtrMultiple,RangeWidth,RangeMid,EntryOffset,RangeAtrRatio,PriceAboveEMA200_5M,ATR_Value,EMA_9_5M,EMA_21_5M,EMA_50_5M,EMA_200_5M,EMA_200_1H,ATR,ATR_Pct,ATR_Ratio,Consolidation_Score,Trend_Score,Is_Consolidating,Is_Tight_Range,Price_Above_EMA200_5M,Price_Above_EMA200_1H,ActiveWindowType,RangeHigh,RangeLow,Mode,Market
2025-07-02_1630,1630,REVERSAL,SELL,2025-07-02 17:40:00,2025-07-02 17:45:00,22587.147500000003,22602.83,22602.83,22555.782500000005,15.682499999998981,-15.682499999998981,-1.0,SL_HIT,0.0,0.48119402985082443,0.0,54.87999999999738,22468.59,118.55750000000262,2.024397433853905,0,27.109301307263916,22559.056045314013,22521.316301341853,22494.853304588232,22516.126630282033,22616.17667842049,23.43156275764942,0.10381480796493757,0.9746859026823808,0.0,0.6666666666666666,0,0,1,0,1630,22496.03,22441.15,reversal_failed_move,UT100
2025-07-22_0300,0300,REVERSAL,BUY,2025-07-22 04:25:00,2025-07-22 04:30:00,23190.059999999998,23194.87999999999,23187.65,23194.87999999999,2.4099999999962165,4.819999999992433,2.0,TP_HIT,0.0,0.6875,0.0,10.62999999999738,23193.465,-3.405000000002474,1.6275964639049363,1,6.5311029089445425,23189.950848371773,23190.38154852748,23185.39370292208,23056.515855102818,22817.77522925308,6.749583962717997,0.02909958172794912,1.1677254101189938,0.0,0.6666666666666666,0,0,1,1,0300,23198.78,23188.15,reversal_failed_move,UT100
2025-07-23_1000,1000,REVERSAL,BUY,2025-07-23 12:35:00,2025-07-23 12:50:00,23110.934999999998,23118.244999999995,23107.28,23118.244999999995,3.654999999998836,7.309999999997672,2.0,TP_HIT,0.0,0.9049773755659684,0.0,13.0,23115.9,-4.9650000000037835,1.9073106592844913,1,6.815879697792294,23116.018586164457,23116.076705855896,23110.509688237405,23095.225260258925,22894.064222853292,6.493794084120197,0.028095206937755496,0.8166529022658674,0.0,0.6666666666666666,0,0,1,1,1000,23122.4,23109.4,reversal_failed_move,UT100
2025-07-24_1000,1000,REVERSAL,BUY,2025-07-24 11:10:00,2025-07-24 11:50:00,23213.607500000002,23240.142500000005,23200.34,23240.142500000005,13.267500000001746,26.535000000003492,2.0,TP_HIT,0.0,0.7597254004576499,0.0,10.380000000001019,23209.300000000003,4.307499999998981,1.0988047979783897,1,9.446627844270811,23214.0423369946,23215.334020194474,23222.362516404373,23198.61885742532,22950.29281470142,10.288356025252272,0.044302708732913476,1.3657431943378193,0.0,0.3333333333333333,0,0,1,1,1000,23214.49,23204.11,reversal_failed_move,UT100
2025-08-04_1000,1000,REVERSAL,SELL,2025-08-04 10:40:00,2025-08-04 10:50:00,22916.682500000003,22895.48750000001,22927.28,22895.48750000001,10.597499999996217,21.194999999992433,2.0,TP_HIT,0.0,0.893061224489689,0.0,39.5,22880.78,35.90250000000378,2.320281080805704,1,17.023799541684777,22899.867863280546,22885.532805309085,22870.11752369449,22870.107878234907,23176.982800729147,15.786320544642885,0.06889218563349493,1.0513543906377274,0.0,0.6666666666666666,0,0,1,0,1000,22900.53,22861.03,reversal_failed_move,UT100
2025-08-04_1630,1630,REVERSAL,SELL,2025-08-04 17:20:00,2025-08-04 17:40:00,23128.0575,23099.852499999997,23142.16,23099.852499999997,14.102500000000873,28.205000000001746,2.0,TP_HIT,0.0,0.674807197943388,0.0,107.37999999999738,23025.59,102.46749999999884,4.300958934757374,1,24.966525286309178,23103.04302342369,23054.180105905987,22999.88741703021,22926.49613501834,23164.491332715937,26.159478727221867,0.11313953646994095,1.4076021804637784,0.0,0.6666666666666666,0,0,1,0,1630,23079.28,22971.9,reversal_failed_move,UT100
2025-08-21_0300,0300,REVERSAL,SELL,2025-08-21 05:35:00,2025-08-21 06:20:00,23279.622499999998,23261.307499999995,23288.78,23261.307499999995,9.157500000001164,18.31500000000233,2.0,TP_HIT,0.0,0.8661386138614898,0.0,19.0,23235.28,44.342499999998836,1.3475154262926827,1,14.100024110501847,23272.45032666179,23255.224217194962,23240.355796992902,23245.96596217394,23534.054465738307,11.780554292345762,0.0506099513572141,0.8244226931949016,0.0,0.6666666666666666,0,0,1,0,0300,23244.78,23225.78,reversal_failed_move,UT100
2025-08-22_1000,1000,REVERSAL,SELL,2025-08-22 11:25:00,2025-08-22 11:40:00,23163.557500000003,23176.28,23176.28,23138.11250000001,12.722499999996217,-12.722499999996217,-1.0,SL_HIT,0.0,0.5122273628553431,0.0,44.37000000000262,23083.465,80.09250000000247,3.0598279417234164,0,14.500815354673726,23144.669100145213,23125.135931131666,23118.077691218205,23141.309587595795,23441.600630973306,14.972289620025718,0.06464641023349338,0.8719862962229283,0.0,0.6666666666666666,0,0,1,0,1000,23105.65,23061.28,reversal_failed_move,UT100
2025-08-22_1630,1630,REVERSAL,SELL,2025-08-22 16:55:00,2025-08-22 17:00:00,23232.09,23268.65,23268.65,23158.969999999998,36.56000000000131,-36.56000000000131,-1.0,SL_HIT,0.0,0.2702378092721765,0.0,116.37000000000262,23191.965,40.125,3.8072416631765185,1,30.565435634288303,23210.211723704444,23198.349168350385,23185.609694555573,23162.940650098244,23428.939848229184,36.28701609864317,0.1564709265213647,2.1712883449009936,0.0,0.6666666666666666,0,0,1,0,1630,23250.15,23133.78,reversal_failed_move,UT100
2025-09-01_1630,1630,REVERSAL,SELL,2025-09-01 17:10:00,2025-09-01 17:15:00,23440.9025,23435.907499999998,23443.4,23435.907499999998,2.4975000000013097,4.995000000002619,2.0,TP_HIT,0.0,0.48857142857117913,0.0,39.62000000000262,23416.59,24.3125,3.5085234169033654,0,11.292499804653254,23437.547627210646,23433.517900755505,23430.544447369248,23438.49843326524,23488.02548786346,8.969880664979913,0.03826879671395896,1.0307419077239632,0.0,0.6666666666666666,0,0,1,0,1630,23436.4,23396.78,reversal_failed_move,UT100
2025-09-03_1000,1000,REVERSAL,SELL,2025-09-03 11:25:00,2025-09-03 11:35:00,23379.215,23360.085000000003,23388.78,23360.085000000003,9.56499999999869,19.12999999999738,2.0,TP_HIT,0.0,0.8727272727272727,0.0,21.37000000000262,23308.965,70.25,1.3362284725339528,1,15.992774019758526,23359.220802040072,23336.902978380873,23314.501651613456,23275.587510956313,23425.087812755195,15.080082336681517,0.06450847775659525,1.00434170292047,0.0,0.6666666666666666,0,0,1,0,1000,23319.65,23298.28,reversal_failed_move,UT100
2025-09-03_1630,1630,REVERSAL,SELL,2025-09-03 18:45:00,2025-09-03 19:20:00,23389.42,23404.78,23404.78,23358.699999999997,15.360000000000582,-15.360000000000582,-1.0,SL_HIT,0.0,0.9593495934957906,0.0,65.25,23362.525,26.8949999999968,2.2651660419988824,1,28.805835329590465,23404.028817184128,23410.757556539393,23401.779309063673,23346.391031765375,23422.667512142016,27.109627425336402,0.11593123838303165,0.8269037602201651,0.0,0.3333333333333333,0,0,1,0,1630,23395.15,23329.9,reversal_failed_move,UT100
2025-10-01_1630,1630,REVERSAL,BUY,2025-10-01 17:15:00,2025-10-01 17:20:00,24612.245000000003,24658.17500000001,24589.28,24658.17500000001,22.965000000003783,45.93000000000757,2.0,TP_HIT,0.0,0.8834085213032844,0.0,97.62999999999738,24570.965,41.280000000002474,2.6258468557124393,0,37.18038612480643,24592.821063491505,24577.841512314793,24558.990900104913,24550.523078347513,24496.45832862148,39.20702926228397,0.15914430323846854,1.481854188190676,0.0,1.0,0,0,1,1,1630,24619.78,24522.15,reversal_failed_move,UT100
2025-10-06_1000,1000,REVERSAL,BUY,2025-10-06 11:05:00,2025-10-06 12:30:00,24891.04,24924.920000000006,24874.1,24924.920000000006,16.94000000000233,33.88000000000466,2.0,TP_HIT,0.0,0.7565568258238582,0.0,13.0,24893.85,-2.8099999999976717,1.522807190605655,1,8.536865389261528,24885.34398407891,24885.541928746305,24884.545460094923,24877.73200945992,24676.945969715325,14.022065312769076,0.05630933168728058,1.5201585003120008,0.0,0.6666666666666666,0,0,1,1,1000,24900.35,24887.35,reversal_failed_move,UT100
